idx,slack_ns,owner,path_group,path_type,path_class,startpoint,endpoint
11,-3.565,IP_DDR_PHY,phy_dq_clk_0,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/ddrphy_iol_rst/opit_0_inv_L5Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_ca_group[2].u_tserdes_ca1/oserdes_inst/TSR
12,-3.519,IP_DDR_PHY,phy_dq_sysclk_0,max (slow corner),sequential timing path,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].ddrphy_data_slice/ddrphy_dqs_rddata_align/this_group_ca_dly/opit_0_inv/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/u_outbuft_csn/opit_1/TX_DATA[6]
13,-3.495,IP_DDR_PHY,phy_dq_sysclk_0,max (slow corner),sequential timing path,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[1].ddrphy_data_slice/ddrphy_dqs_rddata_align/this_group_ca_dly/opit_0_inv/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/u_outbuft_csn/opit_1/TX_DATA[4]
14,-3.350,IP_DDR_PHY,phy_dq_clk_1,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_training_ctrl/ddrphy_dqs_training_rstn/opit_0_inv_L5Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].ddrphy_data_slice/u_ddc_dq/ddc_inst_PHY/RST_TRAINING_N
15,-3.262,IP_DDR_PHY,phy_dq_sysclk_1,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/ddrphy_iol_rst/opit_0_inv_L5Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].ddrphy_data_slice/u_tserdes1_dq/oserdes_inst/TSR
16,-3.195,IP_DDR_PHY,phy_dq_clk_0,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_training_ctrl/ddrphy_dqs_training_rstn/opit_0_inv_L5Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_ca_group[1].u_ddc_ca/ddc_inst/RST_TRAINING_N
17,-3.033,IP_DDR_PHY,ddrphy_sysclk,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/ddrphy_rst_n_rg/opit_0_inv/CLK,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/u_ddrphy_rstn_sync/sig_async_r1[0]/opit_0_inv_srl/RS
18,-2.969,IP_DDR_PHY,phy_dq_sysclk_1,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/ddrphy_iol_rst/opit_0_inv_L5Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[1].ddrphy_data_slice/u_tserdes0_dqs/oserdes_inst/TSR
19,-2.908,IP_DDR_PHY,phy_dq_clk_0,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_training_ctrl/ddrphy_dqs_training_rstn/opit_0_inv_L5Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_ca_group[0].u_ddc_ca/ddc_inst/RST_TRAINING_N
20,-2.664,RTL_OWNED,pclk_div2,max (slow corner),sequential timing path,u_fram_buf/rd_buf/rd_fram_buf/U_ipm2l_dpram_rd_fram_buf/ADDR_LOOP[0].DATA_LOOP[0].U_GTP_DRM36K_E1/gopdrm_36k_inv/CLKB[0],u_ips2l_pcie_dma/u_ips2l_pcie_dma_tx_top/u_ips2l_pcie_dma_tx_mwr_rd_ctrl/u_ips2l_pcie_dma_mwr_rd_ctrl/u_mwr_data_rd_fifo/genblk1.pgs_pciex4_fifo/ipm_distributed_sdpram_distributed_fifo/mem_1_83/ram64x1d/DI
21,-2.646,RTL_OWNED,pclk_div2,max (slow corner),sequential timing path,u_fram_buf/rd_buf/rd_fram_buf/U_ipm2l_dpram_rd_fram_buf/ADDR_LOOP[0].DATA_LOOP[0].U_GTP_DRM36K_E1/gopdrm_36k_inv/CLKB[0],u_ips2l_pcie_dma/u_ips2l_pcie_dma_tx_top/u_ips2l_pcie_dma_tx_mwr_rd_ctrl/u_ips2l_pcie_dma_mwr_rd_ctrl/u_mwr_data_rd_fifo/genblk1.pgs_pciex4_fifo/ipm_distributed_sdpram_distributed_fifo/mem_0_35/ram64x1d/DI
22,-2.523,IP_DDR_PHY,phy_dq_sysclk_0,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/ddrphy_iol_rst/opit_0_inv_L5Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_ca_group[2].u_tserdes_ca1/oserdes_inst/TSR
23,-2.333,IP_DDR_PHY,phy_dq_sysclk_0,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/ddrphy_iol_rst/opit_0_inv_L5Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_ca_group[0].u_tserdes_ca1/oserdes_inst/TSR
24,-1.837,RTL_OWNED,ref_clk,max (slow corner),async timing path,u_ips2l_pcie_wrap/U_IPS2L_PCIE_TOP/U_IPS2L_PCIE_HARD_CTRL/u_gtp_pcie/gateop/PCLK_DIV2,u_ips2l_pcie_wrap/U_IPS2L_PCIE_TOP/U_IPS2L_HSSTLP_PCIE_SOFT_PHY/phy_rstn_sync/sig_async_ff/opit_0_inv_srl/RS
25,-1.836,IP_DDR_PHY,ddr_rst_clk,max (slow corner),sequential timing path,u_DDR3/u_ddrphy_top/ddrphy_calib_top/ddrphy_main_ctrl/calib_done/opit_0_inv_L6Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/ddrphy_calib_done_d[0]/opit_0_inv_srl/D
26,-1.749,IP_DDR_PHY,ddr_rst_clk,max (slow corner),sequential timing path,u_DDR3/u_ddrphy_top/ddrphy_calib_top/dfi_error/opit_0_inv_L6Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/training_error_d[0]/opit_0_inv_srl/D
27,-1.398,RTL_OWNED,ref_clk,max (slow corner),sequential timing path,u_ips2l_pcie_wrap/U_IPS2L_PCIE_TOP/U_IPS2L_HSSTLP_PCIE_SOFT_PHY/x2.GTP_HSST_2LANE_TOP/U_GTP_HSSTLP_WRAPPER/CHANNEL1_ENABLE.U_GTP_HSSTLP_LANE1/gophsst/P_RX_CLK_FR_CORE,u_ips2l_pcie_wrap/U_IPS2L_PCIE_TOP/U_IPS2L_HSSTLP_PCIE_SOFT_PHY/hsst_pciex4_rst/hsst_rx_rst_mcrsw/genblk1[1].hsst_rst4mcrsw_rx_init/word_align_multi_sw_sync/sig_async_ff/opit_0_inv_srl/D
28,-1.267,RTL_OWNED,ref_clk,max (slow corner),sequential timing path,u_ips2l_pcie_wrap/U_IPS2L_PCIE_TOP/U_IPS2L_PCIE_HARD_CTRL/u_gtp_pcie/gateop/PCLK_DIV2,u_ref_rdlh_linkup_sync/sig_async_ff/opit_0_inv_srl/D
29,-0.440,RTL_OWNED,pclk_div2,max (slow corner),sequential timing path,u_ips2l_pcie_wrap/U_IPS2L_PCIE_TOP/u_pcie_apb_mux/u_pcie_apb_cross/src_p_wdata[19]/opit_0_inv_L6QL5Q_perm/CLK,u_ips2l_pcie_wrap/U_IPS2L_PCIE_TOP/u_pcie_apb_mux/u_pcie_apb_cross/o_des_p_wdata[19]/opit_0_inv/D
30,-0.357,RTL_OWNED,pclk_div2,max (slow corner),sequential timing path,u_ips2l_pcie_wrap/U_IPS2L_PCIE_TOP/u_pcie_apb_mux/u_pcie_apb_cross/src_p_strb[1]/opit_0_inv_L6QL5Q_perm/CLK,u_ips2l_pcie_wrap/U_IPS2L_PCIE_TOP/u_pcie_apb_mux/u_pcie_apb_cross/o_des_p_strb[0]/opit_0_inv/D
